"","recordid","iid","id","gender","idg","condtn","wave","round","position","positin1","order","partner","pid","match","int_corr","samerace","age_o","race_o","pf_o_att","pf_o_sin","pf_o_int","pf_o_fun","pf_o_amb","pf_o_sha","dec_o","attr_o","sinc_o","intel_o","fun_o","amb_o","shar_o","like_o","prob_o","met_o","age","field","field_cd","undergra","mn_sat","tuition","race","imprace","imprelig","from","zipcode","income","goal","date","go_out","career","career_c","sports","tvsports","exercise","dining","museums","art","hiking","gaming","clubbing","reading","tv","theater","movies","concerts","music","shopping","yoga","exphappy","expnum","attr1_1","sinc1_1","intel1_1","fun1_1","amb1_1","shar1_1","attr4_1","sinc4_1","intel4_1","fun4_1","amb4_1","shar4_1","attr2_1","sinc2_1","intel2_1","fun2_1","amb2_1","shar2_1","attr3_1","sinc3_1","fun3_1","intel3_1","amb3_1","attr5_1","sinc5_1","intel5_1","fun5_1","amb5_1","dec","attr","sinc","intel","fun","amb","shar","like","prob","met","match_es","attr1_s","sinc1_s","intel1_s","fun1_s","amb1_s","shar1_s","attr3_s","sinc3_s","intel3_s","fun3_s","amb3_s","satis_2","length","numdat_2","attr7_2","sinc7_2","intel7_2","fun7_2","amb7_2","shar7_2","attr1_2","sinc1_2","intel1_2","fun1_2","amb1_2","shar1_2","attr4_2","sinc4_2","intel4_2","fun4_2","amb4_2","shar4_2","attr2_2","sinc2_2","intel2_2","fun2_2","amb2_2","shar2_2","attr3_2","sinc3_2","intel3_2","fun3_2","amb3_2","attr5_2","sinc5_2","intel5_2","fun5_2","amb5_2","you_call","them_cal","date_3","numdat_3","num_in_3","attr1_3","sinc1_3","intel1_3","fun1_3","amb1_3","shar1_3","attr7_3","sinc7_3","intel7_3","fun7_3","amb7_3","shar7_3","attr4_3","sinc4_3","intel4_3","fun4_3","amb4_3","shar4_3","attr2_3","sinc2_3","intel2_3","fun2_3","amb2_3","shar2_3","attr3_3","sinc3_3","intel3_3","fun3_3","amb3_3","attr5_3","sinc5_3","intel5_3","fun5_3","amb5_3","X"
"11",136,14,4,1,8,1,1,10,8,NA,6,6,6,1,0.12,0,23,4,10,25,20,25,5,15,1,8,6,7,8,2,8,9,4,2,23,"Law",1,"","","",2,1,1,"Cincinnati, Ohio","45,243","56,580.00",2,4,1,"Corporate attorney",1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,15,30,5,15,40,5,5,NA,NA,NA,NA,NA,NA,20,15,20,20,5,20,9,9,9,9,9,NA,NA,NA,NA,NA,1,6,8,8,7,9,8,7,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,20,14.29,17.14,22.86,14.29,11.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,9,NA,NA,NA,NA,NA,1,1,0,NA,NA,30,10,20,30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,9,NA,NA,NA,NA,NA,NA
"12",137,14,4,1,8,1,1,10,5,NA,3,7,7,1,-0.46,0,22,4,15,15,25,20,15,10,1,7,8,8,7,7,6,8,6,1,23,"Law",1,"","","",2,1,1,"Cincinnati, Ohio","45,243","56,580.00",2,4,1,"Corporate attorney",1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,15,30,5,15,40,5,5,NA,NA,NA,NA,NA,NA,20,15,20,20,5,20,9,9,9,9,9,NA,NA,NA,NA,NA,1,8,8,9,8,9,9,8,7,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,20,14.29,17.14,22.86,14.29,11.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,9,NA,NA,NA,NA,NA,1,1,0,NA,NA,30,10,20,30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,9,NA,NA,NA,NA,NA,NA
"13",138,14,4,1,8,1,1,10,10,NA,8,8,8,1,-0.4,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,8,6,5,6,6,5,5,6,2,23,"Law",1,"","","",2,1,1,"Cincinnati, Ohio","45,243","56,580.00",2,4,1,"Corporate attorney",1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,15,30,5,15,40,5,5,NA,NA,NA,NA,NA,NA,20,15,20,20,5,20,9,9,9,9,9,NA,NA,NA,NA,NA,1,8,8,8,8,8,7,8,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,20,14.29,17.14,22.86,14.29,11.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,9,NA,NA,NA,NA,NA,1,1,0,NA,NA,30,10,20,30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,9,NA,NA,NA,NA,NA,NA
"14",139,14,4,1,8,1,1,10,1,NA,9,9,9,1,-0.26,0,26,6,20,10,20,30,10,10,1,10,9,8,8,7,7,7,5,2,23,"Law",1,"","","",2,1,1,"Cincinnati, Ohio","45,243","56,580.00",2,4,1,"Corporate attorney",1,10,6,8,8,3,3,10,8,8,6,7,3,10,6,8,6,1,8,15,30,5,15,40,5,5,NA,NA,NA,NA,NA,NA,20,15,20,20,5,20,9,9,9,9,9,NA,NA,NA,NA,NA,1,7,8,7,8,8,7,7,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,3,NA,NA,NA,NA,NA,NA,NA,20,14.29,17.14,22.86,14.29,11.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,9,NA,NA,NA,NA,NA,1,1,0,NA,NA,30,10,20,30,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,9,NA,NA,NA,NA,NA,NA
"15",141,15,5,1,10,1,1,10,7,NA,7,1,1,1,0.21,0,21,4,15,20,20,15,15,15,1,5,6,7,7,6,6,6,6,2,24,"Law",1,"","","",3,3,1,"Miami","33,183","36,782.00",1,4,1,"Lawyer",1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,9,30,10,20,10,10,20,NA,NA,NA,NA,NA,NA,20,20,20,20,10,10,7,7,7,9,9,NA,NA,NA,NA,NA,1,8,7,9,6,9,7,8,6,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,1,NA,NA,NA,NA,NA,NA,21.21,18.18,12.12,21.21,6.06,21.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,9,7,9,NA,NA,NA,NA,NA,3,0,0,NA,NA,30,10,20,20,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,9,7,9,NA,NA,NA,NA,NA,NA
"16",148,15,5,1,10,1,1,10,10,NA,10,8,8,1,-0.23,0,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,6,8,8,5,6,7,6,5,2,24,"Law",1,"","","",3,3,1,"Miami","33,183","36,782.00",1,4,1,"Lawyer",1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,9,30,10,20,10,10,20,NA,NA,NA,NA,NA,NA,20,20,20,20,10,10,7,7,7,9,9,NA,NA,NA,NA,NA,1,9,9,8,9,NA,7,9,7,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,1,NA,NA,NA,NA,NA,NA,21.21,18.18,12.12,21.21,6.06,21.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,9,7,9,NA,NA,NA,NA,NA,3,0,0,NA,NA,30,10,20,20,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,9,7,9,NA,NA,NA,NA,NA,NA
"17",149,15,5,1,10,1,1,10,1,NA,1,9,9,1,-0.01,0,26,6,20,10,20,30,10,10,1,5,10,8,8,5,5,5,5,2,24,"Law",1,"","","",3,3,1,"Miami","33,183","36,782.00",1,4,1,"Lawyer",1,9,7,9,7,4,3,6,7,9,8,6,9,9,6,7,2,1,5,9,30,10,20,10,10,20,NA,NA,NA,NA,NA,NA,20,20,20,20,10,10,7,7,7,9,9,NA,NA,NA,NA,NA,1,7,9,8,9,7,7,7,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,2,1,NA,NA,NA,NA,NA,NA,21.21,18.18,12.12,21.21,6.06,21.21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,9,7,9,NA,NA,NA,NA,NA,3,0,0,NA,NA,30,10,20,20,5,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,7,9,7,9,NA,NA,NA,NA,NA,NA
"18",158,16,6,1,12,1,1,10,10,NA,9,8,8,1,0.28,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,6,8,8,5,6,7,6,5,2,25,"Business",8,"","","",2,9,2,"Milan - Italy","26,900","",1,5,1,"research/financial industry",7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10,50,0,30,10,0,10,NA,NA,NA,NA,NA,NA,50,5,30,5,5,5,6,6,8,8,6,NA,NA,NA,NA,NA,1,8,7,7,7,8,7,7,6,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,1,NA,NA,NA,NA,NA,NA,19.51,14.63,17.07,17.07,14.63,17.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,8,8,7,NA,NA,NA,NA,NA,0,0,0,NA,NA,50,0,20,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,8,8,8,NA,NA,NA,NA,NA,NA
"19",159,16,6,1,12,1,1,10,1,NA,10,9,9,1,0.42,0,26,6,20,10,20,30,10,10,1,8,9,9,7,6,5,6,5,2,25,"Business",8,"","","",2,9,2,"Milan - Italy","26,900","",1,5,1,"research/financial industry",7,7,2,6,7,7,7,5,5,5,8,3,7,8,7,8,6,1,7,10,50,0,30,10,0,10,NA,NA,NA,NA,NA,NA,50,5,30,5,5,5,6,6,8,8,6,NA,NA,NA,NA,NA,1,6,6,7,8,7,7,6,5,2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,2,1,NA,NA,NA,NA,NA,NA,19.51,14.63,17.07,17.07,14.63,17.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,8,8,7,NA,NA,NA,NA,NA,0,0,0,NA,NA,50,0,20,10,10,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,6,8,8,8,NA,NA,NA,NA,NA,NA
"20",169,17,7,1,14,1,1,10,1,NA,5,9,9,1,0.21,0,26,6,20,10,20,30,10,10,1,6,8,9,6,6,6,7,5,2,30,"political science",13,"","","",2,1,1,"Georgia, USA","30,677","38,548.00",3,3,2,"academics or journalism",2,8,2,9,7,7,5,4,2,6,4,2,7,9,7,7,2,2,4,2,35,15,25,10,5,10,NA,NA,NA,NA,NA,NA,25,20,20,20,10,5,7,7,6,8,4,NA,NA,NA,NA,NA,1,8,6,7,8,6,5,8,4,2,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,3,2,NA,NA,NA,NA,NA,NA,30,16.67,20,20,6.67,6.67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,8,5,7,NA,NA,NA,NA,NA,1,1,0,NA,NA,40,20,25,5,5,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7,8,8,6,6,NA,NA,NA,NA,NA,NA
"21",178,18,8,1,16,1,1,10,10,NA,5,8,8,1,0.17,1,25,2,9.09,18.18,27.27,18.18,18.18,9.09,1,5,6,7,4,5,6,5,4,2,27,"Business",8,"","","",2,8,8,"New York","10,028","52,010.00",1,6,1,"Financial Services",7,5,5,5,9,4,3,4,4,2,6,9,3,9,3,6,2,1,5,2,33.33,11.11,11.11,11.11,11.11,22.22,NA,NA,NA,NA,NA,NA,10,10,20,25,25,10,6,8,6,8,9,NA,NA,NA,NA,NA,1,9,8,8,8,7,5,7,5,2,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,2,1,NA,NA,NA,NA,NA,NA,24.39,12.2,17.07,14.63,14.63,17.07,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,8,8,6,9,NA,NA,NA,NA,NA,1,0,0,NA,NA,35,10,15,15,15,10,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6,7,8,6,9,NA,NA,NA,NA,NA,NA
"22",181,19,9,1,18,1,1,10,7,NA,8,1,1,1,0.28,0,21,4,15,20,20,15,15,15,1,7,6,8,9,8,8,7,7,2,28,"money",8,"","","",2,1,1,"california","2,467","",4,1,1,"ceo",7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,20,50,0,25,10,0,15,NA,NA,NA,NA,NA,NA,40,15,20,10,10,5,10,6,10,10,10,NA,NA,NA,NA,NA,1,7,7,8,8,8,9,6.5,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23",182,19,9,1,18,1,1,10,3,NA,4,2,2,1,0.11,1,24,2,45,5,25,20,0,5,1,7,6,8,9,4,5,5,6,2,28,"money",8,"","","",2,1,1,"california","2,467","",4,1,1,"ceo",7,10,10,10,10,5,5,6,7,9,8,1,1,7,7,7,7,10,10,20,50,0,25,10,0,15,NA,NA,NA,NA,NA,NA,40,15,20,10,10,5,10,6,10,10,10,NA,NA,NA,NA,NA,1,8,6,9,9,8,7,8,8,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
